Response ID,Submitted At,Vendor Label,Store Type,Years on Campus,Days Open,Daily Customers,Weekday Revenue,Weekend vs Weekday,Top Sellers,Top Seller Units,Restock Decision,Restock Frequency,Stock Source,Overstock Occurs,Slow Movers,Expiry Loss,Monthly Waste Loss,Unmet Demand Freq,Unmet Demand Items,Considered Product,Biggest Challenge,Would Use App,Primary Device,Other Comments
BQtbzZPeSdsAW49zudCb,2026-05-12T15:12:51.631Z,EDS,Food Vendor (Cooked Food / Snacks),1 – 3 years,7 days,Fewer than 20,"More than ?30,000",Much higher,Rice | Bread and egg | indomie,20 – 50 units,When it finishes or is almost finished,Weekly,Multiple sources depending on product,Never,None — everything sells well,Never,,"Yes, sometimes",beans and bread | salad | swallow,yam and egg,Running out of fast-selling products too quickly,"Yes, definitely",Smartphone (Android),none
iJwFEHcfvM1Fdjx8gYCC,2026-05-12T14:57:19.130Z,FFO,Food Vendor (Cooked Food / Snacks),More than 3 years,6 days,51 – 100,"More than ?30,000",Much higher,beans and bread | bread and egg | indomie,More than 200 units,Fixed schedule (e.g. every Monday),Every 2–3 days,Multiple sources depending on product,Never,None — everything sells well,Never,,"Yes, sometimes",swallow | snacks(confections) | pepper soup,swallow,Running out of fast-selling products too quickly,"Yes, definitely",Smartphone (Android),none
tLMJq2goZpPSaXBHDjf5,2026-05-12T14:45:13.467Z,favourMe,Provision / Grocery Store,More than 3 years,6 days,51 – 100,"More than ?30,000",Much higher,drinks | water | biscuits,101 – 200 units,When it finishes or is almost finished,Every 2–3 days,Local market (Igbesa / nearby town),Never,"Beverages (Milo, Bournvita, etc.), Specific provisions / seasoning brands, Toiletries / Cosmetics",Rarely,,"Yes, very often",body lotion | soap case | air freshner,toiletries,Not knowing which new products to add,"Yes, definitely",Smartphone (Android),none
5lNL86B0GIBcL9Q81WDB,2026-05-12T14:33:38.516Z,Peace panel,Provision / Grocery Store,More than 3 years,6 days,51 – 100,"More than ?30,000",About the same,Bottle water | Gala | Drinks,51 – 100 units,When it finishes or is almost finished,Every 2–3 days,Multiple sources depending on product,Never,None — everything sells well,Never,,"Yes, sometimes",Nutella | Perfume(particular brand) | Energy drink,none,Not knowing which new products to add,"Yes, definitely",Smartphone (Android),none
ko3D6GJZWWFoVAtSYZr9,2026-05-12T13:27:41.055Z,savours,Food Vendor (Cooked Food / Snacks),6 months – 1 year,6 days,More than 100,"More than ?30,000",Slightly higher,Rice | Water | soft drinks,101 – 200 units,When it finishes or is almost finished,Every 2–3 days,Local market (Igbesa / nearby town),Never,None — everything sells well,Never,,"Yes, sometimes",moi moi | round fish | potage yam/ boiled yam,Bread and beans,Running out of fast-selling products too quickly,"Yes, definitely",Smartphone (Android),none
qmlFhZAGUmJa6IhaISkz,2026-05-12T10:57:02.423Z,Mummy,Provision / Grocery Store,More than 3 years,6 days,51 – 100,"More than ?30,000",Much higher,Bags of water | Bread | cold drinks,20 – 50 units,When it finishes or is almost finished,Every 2–3 days,Local market (Igbesa / nearby town),"Yes, occasionally","Biscuits / Packaged snacks, Canned goods / Tin food, Beverages (Milo, Bournvita, etc.), Specific provisions / seasoning brands, Toiletries / Cosmetics","Yes, it has happened before",,"Yes, very often",Bottled groundnut | Canned malt | Energy drink,Meat pie,Running out of fast-selling products too quickly,"Yes, definitely",Smartphone (Android),none
dRgzbdqtcgsH7dsfIoHc,2026-05-12T10:33:31.817Z,Havillah ventures,Drinks / Water / Beverages,1 – 3 years,7 days,51 – 100,"?7,001 – ?15,000",Much higher,Gala | water | Bread,20 – 50 units,When it finishes or is almost finished,Every 2–3 days,Multiple sources depending on product,"Yes, occasionally","Biscuits / Packaged snacks, Specific provisions / seasoning brands",Rarely,,"Yes, very often",Groundnut | sugar | nutri milk,,Not knowing which new products to add,"Yes, definitely",Smartphone (Android),None
