vendor_label,store_type,years_on_campus,daily_customers,weekday_revenue,top_sellers,restock_decision,restock_frequency,stockout_risk_score,overstock_score,expiry_score,unmet_demand_score,unmet_demand_items,biggest_challenge,would_use_app
EDS,Food Vendor (Cooked Food / Snacks),1  3 years,Fewer than 20,"More than ?30,000",Rice | Bread and egg | indomie,When it finishes or is almost finished,Weekly,4,0,0,2,beans and bread | salad | swallow,Running out of fast-selling products too quickly,"Yes, definitely"
FFO,Food Vendor (Cooked Food / Snacks),More than 3 years,51  100,"More than ?30,000",beans and bread | bread and egg | indomie,Fixed schedule (e.g. every Monday),Every 23 days,2,0,0,2,swallow | snacks(confections) | pepper soup,Running out of fast-selling products too quickly,"Yes, definitely"
favourMe,Provision / Grocery Store,More than 3 years,51  100,"More than ?30,000",drinks | water | biscuits,When it finishes or is almost finished,Every 23 days,4,0,1,3,body lotion | soap case | air freshner,Not knowing which new products to add,"Yes, definitely"
Peace panel,Provision / Grocery Store,More than 3 years,51  100,"More than ?30,000",Bottle water | Gala | Drinks,When it finishes or is almost finished,Every 23 days,4,0,0,2,Nutella | Perfume(particular brand) | Energy drink,Not knowing which new products to add,"Yes, definitely"
savours,Food Vendor (Cooked Food / Snacks),6 months  1 year,More than 100,"More than ?30,000",Rice | Water | soft drinks,When it finishes or is almost finished,Every 23 days,4,0,0,2,moi moi | round fish | potage yam/ boiled yam,Running out of fast-selling products too quickly,"Yes, definitely"
Mummy,Provision / Grocery Store,More than 3 years,51  100,"More than ?30,000",Bags of water | Bread | cold drinks,When it finishes or is almost finished,Every 23 days,4,2,2,3,Bottled groundnut | Canned malt | Energy drink,Running out of fast-selling products too quickly,"Yes, definitely"
Havillah ventures,Drinks / Water / Beverages,1  3 years,51  100,"?7,001  ?15,000",Gala | water | Bread,When it finishes or is almost finished,Every 23 days,4,2,1,3,Groundnut | sugar | nutri milk,Not knowing which new products to add,"Yes, definitely"
